Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5,False,True,17,0.81,2.429,0.143,3.066,13,7
5,False,True,17,0.81,2.429,0.143,3.121,13,7
5,False,True,17,0.81,2.429,0.143,3.231,13,7
5,False,True,17,0.81,2.429,0.143,3.341,13,8
5,False,True,17,0.81,2.429,0.143,3.077,11,6
5,False,True,17,0.81,2.429,0.143,3.692,13,8
5,False,True,17,0.81,2.429,0.143,3.0,12,6
5,False,True,17,0.81,2.429,0.262,3.692,13,8
5,False,True,17,0.81,2.429,0.262,3.341,13,8
5,False,True,18,0.857,2.571,0.0,2.813,13,6
5,False,True,18,0.857,2.571,0.0,2.923,13,7
5,False,True,18,0.857,2.571,0.0,3.209,13,7
5,False,False,18,0.857,2.571,0.071,2.626,13,6
5,False,True,18,0.857,2.571,0.071,2.692,13,6
5,False,False,18,0.857,2.571,0.071,2.484,13,5
5,False,True,18,0.857,2.571,0.143,2.901,12,6
5,False,True,18,0.857,2.571,0.143,2.901,13,6
5,False,False,18,0.857,2.571,0.071,2.604,12,5
5,False,False,18,0.857,2.571,0.071,2.681,12,5
5,False,True,18,0.857,2.571,0.143,3.044,12,6
5,False,True,18,0.857,2.571,0.071,3.0,12,7
5,False,True,18,0.857,2.571,0.143,2.879,12,6
5,False,False,18,0.857,2.571,0.071,2.714,13,5
5,False,False,18,0.857,2.571,0.071,2.571,13,5
5,False,True,18,0.857,2.571,0.0,2.615,12,5
5,False,True,18,0.857,2.571,0.0,2.901,13,7
5,False,False,18,0.857,2.571,0.0,2.604,13,5
5,False,False,18,0.857,2.571,0.0,2.813,13,7
5,False,False,18,0.857,2.571,0.0,2.615,13,6
5,False,True,18,0.857,2.571,0.0,2.791,13,6
5,False,True,18,0.857,2.571,0.0,2.802,13,7
5,False,True,18,0.857,2.571,0.143,3.264,13,8
5,False,True,18,0.857,2.571,0.0,2.615,13,6
5,False,True,18,0.857,2.571,0.071,3.033,13,7
5,False,True,18,0.857,2.571,0.119,3.022,13,7
5,False,True,18,0.857,2.571,0.0,2.681,12,6
5,False,False,18,0.857,2.571,0.0,2.505,13,5
5,False,True,18,0.857,2.571,0.0,2.593,13,6
5,False,False,19,0.905,2.714,0.0,2.571,13,6
5,False,False,19,0.905,2.714,0.0,2.527,13,5
5,False,True,19,0.905,2.714,0.0,2.451,13,5
5,False,True,17,0.81,2.429,0.0,2.879,12,6
5,False,True,17,0.81,2.429,0.0,3.242,12,8
5,False,True,17,0.81,2.429,0.0,2.857,13,6
5,False,True,17,0.81,2.429,0.0,3.011,13,6
5,False,True,17,0.81,2.429,0.0,3.121,11,7
5,False,True,18,0.857,2.571,0.0,3.198,12,8
5,False,True,18,0.857,2.571,0.0,2.769,12,6
5,False,True,18,0.857,2.571,0.143,2.978,12,6
5,False,True,18,0.857,2.571,0.071,3.253,12,8
5,False,True,17,0.81,2.429,0.0,3.044,13,7
5,False,True,18,0.857,2.571,0.119,2.802,13,6
5,False,True,18,0.857,2.571,0.071,3.088,13,7
5,False,True,18,0.857,2.571,0.214,2.934,13,7
5,False,True,18,0.857,2.571,0.19,3.088,13,7
5,False,True,18,0.857,2.571,0.143,2.978,13,7
5,False,True,18,0.857,2.571,0.071,2.802,13,6
5,False,True,19,0.905,2.714,0.071,3.165,13,7
5,False,True,19,0.905,2.714,0.143,2.626,13,6
5,False,True,18,0.857,2.571,0.071,2.934,12,6
5,False,True,18,0.857,2.571,0.143,3.088,13,7
5,False,True,18,0.857,2.571,0.262,2.934,13,6
5,False,True,18,0.857,2.571,0.143,2.857,13,6
5,False,True,19,0.905,2.714,0.071,2.989,13,7
5,False,True,16,0.762,2.286,0.071,3.055,11,6
5,False,True,16,0.762,2.286,0.143,3.538,11,7
5,False,True,16,0.762,2.286,0.0,3.099,11,7
5,False,True,17,0.81,2.429,0.143,3.055,10,6
5,False,True,17,0.81,2.429,0.0,2.824,13,7
5,False,True,17,0.81,2.429,0.0,2.725,13,6
5,False,True,17,0.81,2.429,0.167,2.835,12,6
5,False,True,17,0.81,2.429,0.071,3.231,11,7
5,False,True,17,0.81,2.429,0.0,2.714,12,6
5,False,True,17,0.81,2.429,0.214,3.231,10,7
5,False,True,17,0.81,2.429,0.0,2.714,12,6
5,False,True,17,0.81,2.429,0.071,3.407,12,8
5,False,True,17,0.81,2.429,0.143,3.495,12,8
5,False,True,17,0.81,2.429,0.143,3.319,11,7
5,False,True,17,0.81,2.429,0.071,3.275,13,9
5,False,True,17,0.81,2.429,0.071,3.308,13,8
5,False,True,17,0.81,2.429,0.143,3.341,13,7
5,False,True,17,0.81,2.429,0.071,3.077,13,7
5,False,True,17,0.81,2.429,0.071,2.857,13,6
5,False,True,17,0.81,2.429,0.0,2.802,12,6
5,False,True,17,0.81,2.429,0.143,3.33,12,8
5,False,True,17,0.81,2.429,0.071,2.846,12,6
5,False,True,17,0.81,2.429,0.143,3.143,12,7
5,False,True,17,0.81,2.429,0.238,2.989,12,6
5,False,True,17,0.81,2.429,0.071,3.231,13,8
5,False,True,17,0.81,2.429,0.071,3.0,13,6
5,False,True,17,0.81,2.429,0.071,3.198,13,8
5,False,True,17,0.81,2.429,0.143,3.363,13,8
5,False,True,17,0.81,2.429,0.143,3.484,13,7
5,False,True,17,0.81,2.429,0.238,3.209,13,7
5,False,True,17,0.81,2.429,0.214,3.341,12,7
5,False,True,17,0.81,2.429,0.143,3.275,11,7
5,False,True,17,0.81,2.429,0.071,3.044,13,7
5,False,True,17,0.81,2.429,0.071,2.912,13,7
5,False,True,17,0.81,2.429,0.143,3.011,13,6
5,False,True,17,0.81,2.429,0.071,2.835,13,7
5,False,True,17,0.81,2.429,0.071,3.297,13,9
5,False,True,17,0.81,2.429,0.143,3.341,13,7
5,False,True,17,0.81,2.429,0.143,3.121,13,7
5,False,True,17,0.81,2.429,0.071,2.912,13,7
5,False,True,17,0.81,2.429,0.238,3.022,12,6
5,False,True,17,0.81,2.429,0.214,3.451,11,8
5,False,True,17,0.81,2.429,0.31,3.275,11,6
5,False,True,17,0.81,2.429,0.143,3.89,13,9
5,False,True,17,0.81,2.429,0.143,3.099,13,7
5,False,True,17,0.81,2.429,0.214,3.451,11,8
5,False,True,17,0.81,2.429,0.31,3.582,13,8
5,False,True,17,0.81,2.429,0.071,2.813,12,6
5,False,True,17,0.81,2.429,0.214,4.066,13,10
5,False,True,17,0.81,2.429,0.214,3.143,11,6
5,False,True,17,0.81,2.429,0.071,2.846,12,7
5,False,True,17,0.81,2.429,0.238,3.066,12,7
5,False,True,17,0.81,2.429,0.071,3.0,11,6
5,False,True,17,0.81,2.429,0.0,3.099,12,7
5,False,False,18,0.857,2.571,0.071,2.747,13,6
5,False,False,18,0.857,2.571,0.0,2.736,12,6
5,False,False,18,0.857,2.571,0.071,2.626,13,5
5,False,True,18,0.857,2.571,0.19,3.033,13,8
5,False,True,18,0.857,2.571,0.238,2.901,13,6
5,False,True,18,0.857,2.571,0.071,2.67,13,5
5,False,True,18,0.857,2.571,0.071,2.703,13,6
5,False,False,18,0.857,2.571,0.071,2.648,13,5
5,False,False,18,0.857,2.571,0.0,3.253,13,8
5,False,False,18,0.857,2.571,0.071,3.264,13,8
5,False,True,18,0.857,2.571,0.143,3.011,12,7
5,False,True,18,0.857,2.571,0.143,3.297,13,7
5,False,True,18,0.857,2.571,0.143,3.275,13,7
5,False,True,18,0.857,2.571,0.143,2.802,13,7
5,False,True,18,0.857,2.571,0.071,2.538,13,5
5,False,True,18,0.857,2.571,0.071,2.692,13,6
5,False,True,18,0.857,2.571,0.143,2.835,13,7
5,False,True,18,0.857,2.571,0.214,3.473,13,8
5,False,False,18,0.857,2.571,0.071,2.495,13,5
5,False,True,18,0.857,2.571,0.071,2.736,13,6
5,False,True,18,0.857,2.571,0.0,2.527,13,5
5,False,True,18,0.857,2.571,0.143,2.879,13,6
5,False,False,18,0.857,2.571,0.071,2.527,13,5
5,False,True,18,0.857,2.571,0.143,2.571,13,5
5,False,True,18,0.857,2.571,0.262,2.89,13,6
5,False,True,18,0.857,2.571,0.143,2.868,13,7
5,False,True,18,0.857,2.571,0.071,2.824,13,7
5,False,True,18,0.857,2.571,0.143,2.758,13,5
5,False,True,18,0.857,2.571,0.238,3.066,13,7
5,False,True,18,0.857,2.571,0.238,2.967,13,7
5,False,True,18,0.857,2.571,0.143,2.769,13,6
